player_id,num_blocks,block_faults,block_set_avg
232,47,64,0.89
90,51,83,0.7
200,41,93,0.58
94,31,94,0.57
99,31,85,0.57
54,35,47,0.55
180,30,59,0.53
260,35,82,0.51
47,27,28,0.51
74,29,74,0.51
122,32,71,0.5
144,26,53,0.49
129,31,74,0.48
41,34,58,0.48
104,31,40,0.48
253,32,46,0.47
208,25,67,0.46
290,33,41,0.45
289,33,59,0.45
124,28,60,0.44
56,30,38,0.42
40,29,59,0.4
209,21,44,0.39
66,22,32,0.39
196,22,47,0.39
242,19,69,0.38
141,19,75,0.36
60,20,42,0.35
149,22,50,0.33
150,22,50,0.33
152,22,27,0.33
72,18,57,0.32
146,21,45,0.31
38,21,44,0.31
226,16,36,0.3
151,20,44,0.3
193,17,24,0.3
37,19,52,0.3
254,20,14,0.29
43,18,32,0.28
111,18,25,0.28
81,20,78,0.27
154,18,23,0.27
42,18,36,0.26
69,13,29,0.26
163,14,33,0.26
211,14,35,0.26
251,17,40,0.25
261,17,31,0.25
266,18,43,0.25
117,16,39,0.25
48,13,35,0.23
189,13,21,0.23
198,16,43,0.23
158,12,34,0.22
166,12,32,0.22
49,12,26,0.22
62,11,35,0.22
87,16,24,0.22
36,16,48,0.22
127,14,34,0.22
108,14,26,0.22
276,15,31,0.21
65,11,36,0.2
50,14,53,0.19
172,10,40,0.19
173,10,33,0.19
210,10,34,0.19
109,12,31,0.18
204,13,38,0.18
46,12,36,0.18
93,13,25,0.18
67,9,27,0.17
57,9,27,0.17
225,9,35,0.17
199,12,41,0.17
201,12,31,0.17
55,12,37,0.17
64,9,56,0.17
102,9,25,0.17
91,12,9,0.16
288,12,27,0.16
257,11,24,0.16
246,8,26,0.16
183,9,15,0.16
188,9,21,0.16
131,10,31,0.16
143,8,11,0.15
44,8,20,0.15
235,8,24,0.15
271,11,24,0.15
95,8,19,0.15
61,8,34,0.15
164,8,19,0.15
258,10,16,0.15
123,9,51,0.14
77,8,36,0.14
78,8,18,0.14
187,8,16,0.14
250,7,32,0.14
105,9,15,0.14
145,9,33,0.13
231,7,15,0.13
237,7,7,0.13
267,9,23,0.12
268,9,11,0.12
192,7,15,0.12
39,8,30,0.12
136,6,27,0.11
137,6,11,0.11
59,6,22,0.11
169,6,62,0.11
171,6,12,0.11
234,6,14,0.11
118,7,30,0.11
178,6,6,0.11
63,5,36,0.1
264,7,26,0.1
273,7,21,0.1
53,5,23,0.09
236,5,10,0.09
96,5,23,0.09
98,5,37,0.09
51,5,25,0.09
58,5,30,0.09
114,6,11,0.09
115,6,12,0.09
262,6,15,0.09
182,5,11,0.09
184,5,15,0.09
88,6,26,0.08
269,6,14,0.08
272,6,10,0.08
45,4,23,0.08
107,5,28,0.08
135,4,4,0.08
139,4,13,0.08
68,4,26,0.08
223,4,7,0.08
153,5,10,0.07
103,4,5,0.07
214,4,11,0.07
71,4,9,0.07
186,4,33,0.07
190,4,9,0.07
275,5,8,0.07
106,4,18,0.06
110,4,17,0.06
116,4,24,0.06
148,4,8,0.06
15,3,2,0.06
228,3,14,0.06
238,3,5,0.06
240,3,10,0.06
100,3,1,0.06
159,3,25,0.06
162,3,21,0.06
212,3,5,0.06
216,3,19,0.06
82,4,32,0.05
86,4,22,0.05
263,4,13,0.05
265,4,12,0.05
270,4,16,0.05
292,4,5,0.05
177,3,11,0.05
179,3,24,0.05
147,3,15,0.04
252,3,19,0.04
259,3,10,0.04
197,3,26,0.04
203,3,23,0.04
274,3,13,0.04
132,2,10,0.04
133,2,19,0.04
170,2,13,0.04
174,2,17,0.04
230,2,4,0.04
97,2,13,0.04
161,2,13,0.04
52,2,15,0.04
219,2,8,0.04
220,2,3,0.04
221,2,6,0.04
76,2,8,0.04
181,2,1,0.04
185,2,4,0.04
194,2,3,0.04
125,2,6,0.03
128,2,19,0.03
112,2,20,0.03
113,2,20,0.03
119,2,9,0.03
155,2,6,0.03
256,2,7,0.03
205,2,6,0.03
206,2,24,0.03
89,2,7,0.03
243,1,11,0.02
245,1,11,0.02
247,1,40,0.02
229,1,3,0.02
233,1,7,0.02
157,1,10,0.02
168,1,5,0.02
215,1,9,0.02
217,1,2,0.02
70,1,0,0.02
73,1,3,0.02
79,1,2,0.02
191,1,8,0.02
130,1,2,0.02
120,1,9,0.02
278,1,0,0.01
83,1,2,0.01
84,1,1,0.01
85,1,7,0.01
75,0,1,NULL
80,0,2,NULL
92,0,1,NULL
101,0,0,NULL
134,0,5,NULL
138,0,11,NULL
140,0,4,NULL
142,0,0,NULL
156,0,4,NULL
160,0,2,NULL
165,0,7,NULL
167,0,4,NULL
279,0,2,NULL
280,0,3,NULL
175,0,6,NULL
176,0,2,NULL
202,0,1,NULL
207,0,1,NULL
213,0,3,NULL
218,0,4,NULL
222,0,3,NULL
224,0,9,NULL
227,0,1,NULL
239,0,2,NULL
241,0,0,NULL
281,0,1,NULL
248,0,5,NULL
249,0,5,NULL
277,0,10,NULL
