player_id,player_name,shirt_number,country,league,gender
1,Piyanut Pannoy,2,THA,w,female
2,Leia Henrique Da Silva Nicolosi,19,BRA,w,female
3,Lenka D�rr,1,GER,w,female
4,Mako Kobata,14,JPN,w,female
5,Larysmer Martinez Caro,25,DOM,w,female
6,Zhana Todorova,15,BUL,w,female
7,Anna Valkenborg,22,BEL,w,female
8,Britt Rampelberg,25,BEL,w,female
9,Nat�lia Araujo,26,BRA,w,female
10,Li Lin,15,CHN,w,female
11,Mengjie Wang,18,CHN,w,female
12,Feifan Ni,21,CHN,w,female
13,Yaneirys Rodriguez Duran,2,DOM,w,female
14,Anna Pogany,17,GER,w,female
15,Natalie Wilczek,23,GER,w,female
16,Monica De Gennaro,6,ITA,w,female
17,Beatrice Parrocchiale,20,ITA,w,female
18,Akane Moriya,18,JPN,w,female
19,Yeongyeon Kim,16,KOR,w,female
20,Jung-Won Moon,18,KOR,w,female
21,Jiyoung Oh,20,KOR,w,female
22,Kirsten Knip,1,NED,w,female
23,Myrthe Schoot,9,NED,w,female
24,Maria Stenzel,8,POL,w,female
25,Paulina Maj-Erwardt,13,POL,w,female
26,Daria Chikrizova,4,RUS,w,female
27,Alla Galkina,9,RUS,w,female
28,Kristina Kurnosova,24,RUS,w,female
29,Teodora Pusic,12,SRB,w,female
30,Aleksandra Tadic,30,SRB,w,female
31,Marija Popovic,31,SRB,w,female
32,Bojana Gocanin,32,SRB,w,female
33,Simge Sebnem Akoz,2,TUR,w,female
34,Aylin Sario_lu,20,TUR,w,female
35,Megan Courtney,17,USA,w,female
36,Andrea Drews,11,USA,w,female
37,Brayelin Elizabeth Martinez,20,DOM,w,female
38,Ebrar Karakurt,99,TUR,w,female
39,Elena Pietrini,14,ITA,w,female
40,Gabriela Braga Guimaraes,10,BRA,w,female
41,Malwina Smarzek,17,POL,w,female
42,Meliha Ismailoglu,9,TUR,w,female
43,Xiangyu Gong,6,CHN,w,female
44,Yeon Koung Kim,10,KOR,w,female
45,Chatchu-On Moksri,19,THA,w,female
46,Indre Sorokaite,1,ITA,w,female
47,Louisa Lippmann,11,GER,w,female
48,Britt Herbots,3,BEL,w,female
49,Margarita Kurilo,11,RUS,w,female
50,Ana Paula Borgo Bedani Guedes,5,BRA,w,female
51,Kseniia Parubets,18,RUS,w,female
52,Ai Kurogo,16,JPN,w,female
53,Hanna Orthmann,12,GER,w,female
54,Bethania De La Cruz De Pe�a,18,DOM,w,female
55,Natalia Medrzyk,16,POL,w,female
56,Magdalena Stysiak,9,POL,w,female
57,Katarina Lazovic,2,SRB,w,female
58,Tatiana Iurinskaia,22,RUS,w,female
59,Seungju Pyo,2,KOR,w,female
60,Kaja Grobelna,8,BEL,w,female
61,Yuki Ishii,7,JPN,w,female
62,Ajcharaporn Kongyot,18,THA,w,female
63,Onuma Sittirak,6,THA,w,female
64,Miroslava Paskova,6,BUL,w,female
65,Gergana Dimitrova,1,BUL,w,female
66,Celine Van Gestel,7,BEL,w,female
67,Sohwi Kang,15,KOR,w,female
68,Heejin Kim,4,KOR,w,female
69,Malika Kanthong,15,THA,w,female
70,Elise Van Sas,2,BEL,w,female
71,Nathalie Lemmens,4,BEL,w,female
72,Dominika Sobolska,10,BEL,w,female
73,Dominika Strumilo,12,BEL,w,female
74,Marlies Janssens,13,BEL,w,female
75,Jutta Van De Vyver,15,BEL,w,female
76,Karolina Goliat,16,BEL,w,female
77,Ilka Van De Vyver,17,BEL,w,female
78,Silke Van Avermaet,19,BEL,w,female
79,Jodie Guilliams,20,BEL,w,female
80,Manon Stragier,21,BEL,w,female
81,Mara Ferreira Leao,1,BRA,w,female
82,Macris Fernanda Silva Carneiro,3,BRA,w,female
83,Lara Nobre Cardoso G Filomeno,4,BRA,w,female
84,Julia Isabelle Bergmann,6,BRA,w,female
85,Roberta Silva Ratzke,9,BRA,w,female
86,Tainara Lemes Santos,11,BRA,w,female
87,Natalia Pereira,12,BRA,w,female
88,Amanda Francisco,13,BRA,w,female
89,Ana Carolina Da Silva,15,BRA,w,female
90,Ana Beatriz Correa,20,BRA,w,female
91,Lorenne Geraldo Teixeira,24,BRA,w,female
92,Milka Marc�lia Medeiros Silva,25,BRA,w,female
93,Mayany Cristina Araujo De Souza,28,BRA,w,female
94,Nasya Dimitrova,2,BUL,w,female
95,Maria Dancheva,4,BUL,w,female
96,Simona Dimitrova,5,BUL,w,female
97,Lora Kitipova,7,BUL,w,female
98,Petya Barakova,8,BUL,w,female
99,Mira Todorova,10,BUL,w,female
100,Mariya Karakasheva,12,BUL,w,female
101,Elena Becheva,17,BUL,w,female
102,Silvana Chausheva,18,BUL,w,female
103,Mariya Krivoshiyska,20,BUL,w,female
104,Xinyue Yuan,1,CHN,w,female
105,Ting Zhu,2,CHN,w,female
106,Linyu Diao,3,CHN,w,female
107,Hanyu Yang,4,CHN,w,female
108,Mingyuan Hu,5,CHN,w,female
109,Yuanyuan Wang,7,CHN,w,female
110,Chunlei Zeng,8,CHN,w,female
111,Changning Zhang,9,CHN,w,female
112,Xiaotong Liu,10,CHN,w,female
113,Di Yao,11,CHN,w,female
114,Yingying Li,12,CHN,w,female
115,Yixin Zheng,14,CHN,w,female
116,Xia Ding,16,CHN,w,female
117,Ni Yan,17,CHN,w,female
118,Yanhan Liu,19,CHN,w,female
119,Fang Duan,20,CHN,w,female
120,Qingqing Du,23,CHN,w,female
121,Ye Jin,26,CHN,w,female
122,Lisvel Elisa Eve Mejia,3,DOM,w,female
123,Niverka Dharlenis Marte Frica,7,DOM,w,female
124,Candida Estefany Arias Perez,8,DOM,w,female
125,Marifranchi Rodriguez,11,DOM,w,female
126,Yokaty Perez Flores,12,DOM,w,female
127,Prisilla Rivera Brens,14,DOM,w,female
128,Yonkaira Paola Pe�a Isabel,16,DOM,w,female
129,Jineiry Martinez,21,DOM,w,female
130,Erasma Moreno Martinez,22,DOM,w,female
131,Gaila Ceneida Gonzalez Lopez,23,DOM,w,female
132,Pia K�stner,2,GER,w,female
133,Denise Hanke,3,GER,w,female
134,Selma Hetmann,4,GER,w,female
135,Jana Franziska Poll,5,GER,w,female
136,Jennifer Geerties,6,GER,w,female
137,Nele Barber,7,GER,w,female
138,Kimberly Drewniok,8,GER,w,female
139,Lena Stigrot,10,GER,w,female
