player_id,attacks,blocks,serves
41,376,34,11
38,247,21,23
40,241,29,8
37,235,19,4
54,185,35,21
36,205,16,14
48,205,13,13
47,193,27,11
39,199,8,16
46,169,12,24
60,166,20,12
65,175,11,11
61,177,8,8
56,146,30,16
68,169,4,12
50,161,14,4
154,143,18,18
42,146,18,13
64,154,9,9
90,110,51,9
260,98,35,25
43,128,18,11
58,135,5,15
55,128,12,8
289,100,33,14
57,124,9,13
66,113,22,9
44,124,8,12
62,122,11,10
288,110,12,18
81,103,20,11
67,110,9,14
45,122,4,7
129,89,31,12
200,85,41,5
74,77,29,24
94,92,31,6
118,115,7,7
242,99,19,11
53,108,5,14
180,71,30,24
49,109,12,4
52,116,2,6
51,115,5,4
253,78,32,13
231,103,7,10
104,79,31,9
105,106,9,4
271,102,11,6
59,100,6,7
63,103,5,4
152,80,22,8
99,69,31,8
131,88,10,10
232,50,47,11
69,82,13,11
257,85,11,8
87,82,16,5
254,79,20,4
111,76,18,8
102,86,9,5
208,65,25,10
141,68,19,11
290,54,33,10
273,76,7,13
189,78,13,3
122,52,32,9
91,74,12,5
127,74,14,1
159,75,3,11
161,79,2,8
236,79,5,4
188,64,9,14
114,62,6,17
151,55,20,9
153,73,5,5
216,77,3,3
274,75,3,5
88,69,6,7
144,44,26,10
276,56,15,7
209,49,21,7
258,63,10,3
139,67,4,1
169,51,6,15
182,62,5,5
240,65,3,3
149,42,22,6
204,55,13,2
270,58,4,8
214,60,4,5
112,57,2,9
150,38,22,8
128,59,2,5
192,56,7,3
225,45,9,11
136,48,6,10
178,55,6,3
183,47,9,8
72,41,18,3
108,42,14,6
157,59,1,2
190,56,4,2
196,34,22,6
269,54,6,2
137,50,6,4
163,41,14,5
166,40,12,5
124,25,28,3
96,45,5,5
198,25,16,14
199,38,12,4
234,39,6,9
252,43,3,8
146,30,21,2
226,31,16,4
266,30,18,3
158,32,12,6
193,30,17,3
179,45,3,1
117,29,16,2
172,27,10,10
201,29,12,6
262,33,6,8
145,33,9,4
86,38,4,3
107,34,5,6
223,33,4,5
251,14,17,11
187,27,8,6
272,29,6,6
165,38,0,1
233,35,1,3
246,27,8,3
138,34,0,3
82,16,4,15
110,30,4,1
123,18,9,8
164,25,8,2
174,31,2,2
119,31,2,1
115,25,6,2
78,17,8,7
245,24,1,7
93,16,13,2
135,25,4,2
261,14,17,0
77,10,8,12
133,23,2,4
95,16,8,4
109,15,12,0
148,18,4,4
155,21,2,3
171,18,6,2
173,7,10,9
210,15,10,1
211,3,14,9
197,10,3,12
250,16,7,2
268,13,9,1
292,19,4,0
267,10,9,3
116,4,4,13
143,11,8,2
168,17,1,3
76,16,2,2
98,7,5,8
229,18,1,1
247,13,1,6
132,14,2,3
218,18,0,1
170,12,2,4
228,6,3,9
237,6,7,5
264,4,7,7
85,5,1,10
97,10,2,4
120,11,1,4
277,16,0,0
243,12,1,2
73,11,1,2
177,7,3,4
186,8,4,2
206,4,2,8
275,9,5,0
71,7,4,2
185,11,2,0
220,11,2,0
79,11,1,0
100,8,3,1
106,4,4,4
147,7,3,2
184,1,5,6
203,7,3,2
263,5,4,3
156,10,0,1
162,1,3,7
191,7,1,3
142,9,0,1
235,2,8,0
113,3,2,4
215,6,1,2
167,4,0,4
244,8,0,0
259,5,3,0
221,5,2,0
230,4,2,1
256,1,2,4
80,1,0,5
130,5,1,0
205,4,2,0
265,1,4,1
83,4,1,0
89,3,2,0
176,3,0,2
181,3,2,0
219,2,2,1
70,2,1,1
103,0,4,0
125,2,2,0
238,1,3,0
241,3,0,1
248,1,0,3
249,4,0,0
84,2,1,0
101,3,0,0
15,0,3,0
280,0,0,3
202,3,0,0
212,0,3,0
222,2,0,1
92,2,0,0
140,2,0,0
160,1,0,1
175,2,0,0
194,0,2,0
213,2,0,0
134,1,0,0
278,0,1,0
207,1,0,0
217,0,1,0
224,1,0,0
227,1,0,0
239,1,0,0
255,0,0,1
